season,player,pos,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,ast_pct,blk_pct,bpm,dbpm,drb_pct,dws,fg3a_per_fga_pct,fta_per_fga_pct,mp,obpm,orb_pct,ows,per,stl_pct,tov_pct,trb_pct,ts_pct,usg_pct,vorp,ws,ws_per_48
2022,Omer Yurtseven,C,23,MIA,9,0,4.2,1.3,2.0,.667,0.0,0.2,.000,1.3,1.8,.750,.667,0.1,0.3,.333,0.1,0.7,0.8,0.3,0.0,0.1,0.0,0.2,2.8,16.6,2.9,8.0,2.8,19.3,0.0,.111,.167,38,5.1,3.0,0.1,25.8,0.0,0.0,10.8,.647,22.6,0.1,0.2,.228
2022,Kessler Edwards,SF,21,BRK,2,0,3.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.5,1.5,0.0,17.5,0.0,-4.4,6.4,0.0,0.0,,,7,-10.8,0.0,0.0,-2.2,7.3,100.0,0.0,,6.6,0.0,0.0,-0.104
2022,Draymond Green,PF,31,GSW,22,22,32.0,3.1,6.5,.479,0.4,1.8,.205,2.8,4.8,.581,.507,1.4,2.1,.638,1.2,6.0,7.2,6.3,1.1,1.0,2.7,4.0,8.0,25.7,3.2,0.9,2.9,20.6,1.0,.271,.326,703,-2.0,4.3,0.4,12.3,1.8,26.4,12.7,.534,14.0,0.5,1.4,.094
2022,Danny Green,SF,34,PHI,12,12,26.6,3.0,7.4,.404,2.6,6.3,.408,0.4,1.1,.385,.579,0.0,0.1,.000,0.8,2.3,3.1,0.8,1.0,0.3,1.1,1.9,8.6,4.9,1.2,1.3,0.9,10.3,0.3,.854,.011,319,0.4,3.6,0.0,9.9,2.0,12.7,7.1,.576,15.1,0.3,0.3,.049
2022,Devonte' Graham,PG,26,NOP,6,0,10.0,1.0,3.0,.333,0.8,2.3,.357,0.2,0.7,.250,.472,1.2,1.3,.875,0.3,1.2,1.5,0.7,0.2,0.2,0.7,0.5,4.0,9.4,1.4,-1.1,-1.0,14.7,0.0,.778,.444,60,-0.2,3.7,0.1,11.5,0.9,15.7,8.9,.558,18.3,0.0,0.1,.049
2022,Aaron Gordon,PF,26,DEN,5,5,32.0,4.6,10.8,.426,0.6,3.0,.200,4.0,7.8,.513,.454,4.0,5.6,.714,3.6,3.6,7.2,2.6,0.4,1.2,1.6,2.8,13.8,12.0,3.9,-1.3,-2.2,14.4,0.0,.278,.519,160,0.9,13.5,0.3,15.7,0.6,10.8,13.9,.520,20.2,0.0,0.2,.063
2022,Rudy Gobert,C,29,UTA,6,6,32.8,3.5,5.5,.636,0.0,0.0,,3.5,5.5,.636,.636,5.0,7.3,.682,3.5,9.7,13.2,0.5,0.2,1.0,1.3,3.2,12.0,2.4,3.8,2.3,0.1,34.1,0.2,.000,1.333,197,2.2,12.5,0.6,19.4,0.3,13.3,23.3,.688,14.3,0.2,0.7,.182
2022,Danilo Gallinari,PF,33,ATL,5,3,22.4,3.6,9.0,.400,0.8,3.0,.267,2.8,6.0,.467,.444,2.2,2.2,1.000,0.4,3.8,4.2,0.8,0.2,0.0,1.0,1.2,10.2,6.4,0.0,-1.8,-1.3,20.9,0.0,.333,.244,112,-0.6,2.1,0.0,10.8,0.5,9.1,11.3,.512,22.5,0.0,0.0,.011
2022,Bryn Forbes,SG,28,DEN,5,0,15.2,1.2,3.0,.400,0.8,2.2,.364,0.4,0.8,.500,.533,0.8,1.0,.800,0.2,0.4,0.6,1.4,0.2,0.0,0.4,1.4,4.0,12.4,0.0,-2.8,-1.9,3.4,-0.1,.733,.333,76,-0.8,1.6,0.1,7.8,0.7,10.4,2.4,.581,11.0,0.0,0.0,.028
2022,Malachi Flynn,PG,23,TOR,6,0,6.0,0.0,1.2,.000,0.0,0.5,.000,0.0,0.7,.000,.000,0.0,0.0,,0.3,0.2,0.5,0.5,0.2,0.0,0.2,1.0,0.0,10.6,0.0,-14.4,-2.9,3.8,0.0,.429,.000,36,-11.5,6.2,-0.1,-5.7,1.5,12.5,5.1,.000,10.3,-0.1,-0.2,-0.219
