Year,Date ,Time ,HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,Stage,SpecialWinConditions,Stadium,City,Attendance
1957,10-Feb-57,,Sudan , Egypt,1,2,Semifinals,,Municipal Stadium, Khartoum,30000
1957,10-Feb-57,,Ethiopia , South Africa,,,Semifinals,Ethiopia  wins due to disqualification of other team,,,
1957,16-Feb-57,,Egypt , Ethiopia,4,0,Final,,Municipal Stadium, Khartoum,30000
1959,22-May-59,,Egypt, Ethiopia,4,0,Final Tournament,,Prince Farouk Stadium, Cairo,30000
1959,25-May-59,,Sudan , Ethiopia,1,0,Final Tournament,,Prince Farouk Stadium, Cairo,20000
1959,29-May-59,,Egypt, Sudan,2,1,Final Tournament,,Prince Farouk Stadium, Cairo,30000
1962,14-Jan-62,,Ethiopia , Tunisia,4,2,Semifinals,,Hailé Sélassié Stadium, Addis Ababa,30000
1962,18-Jan-62,,Egypt, Uganda,2,1,Semifinals,,Hailé Sélassié Stadium, Addis Ababa,30000
1962,20-Jan-62,,Tunisia , Uganda,3,0,Third place match,,Hailé Sélassié Stadium, Addis Ababa,
1962,21-Jan-62,,Ethiopia ,Egypt,4,2,Final, win after extra time ,Hailé Sélassié Stadium, Addis Ababa,
1963,24-Nov-63,,Ghana , Tunisia,1,1,Group A,,Accra Sports Stadium, Accra,
1963,26-Nov-63,,Ghana , Ethiopia,2,0,Group A,,Accra Sports Stadium, Accra,
1963,28-Nov-63,,Ethiopia , Tunisia,4,2,Group A,,Accra Sports Stadium, Accra,
1963,24-Nov-63,,Egypt, Nigeria,6,3,Group B,,Kumasi Sports Stadium, Kumasi,
1963,26-Nov-63,,Egypt, Sudan,2,2,Group B,,Kumasi Sports Stadium, Kumasi,
1963,28-Nov-63,,Sudan , Nigeria,4,0,Group B,,Kumasi Sports Stadium, Kumasi,
1963,30-Nov-63,,Egypt, Ethiopia,3,0,Third place match,,Accra Sports Stadium, Accra,
1963,1-Dec-63,,Ghana , Sudan,3,0,Final,,Accra Sports Stadium, Accra,
1965,12-Nov-65,,Tunisia , Ethiopia,4,0,Group A,,Stade Chedli Zouiten, Tunis,16000
1965,14-Nov-65,,Senegal , Tunisia,0,0,Group A,,Stade Chedli Zouiten, Tunis,
1965,19-Nov-65,,Senegal , Ethiopia,5,1,Group A,,Stade Chedli Zouiten, Tunis,
1965,12-Nov-65,,Ghana , Congo-Léopoldville,5,2,Group B,,Stade Bou Ali Lahouar, Sousse,
1965,14-Nov-65,,Ivory Coast , Congo-Léopoldville,3,0,Group B,,Stade Taïeb Mhiri, Sfax,
1965,19-Nov-65,,Ghana , Ivory Coast,4,1,Group B,,Stade Ahmed Bsiri, Bizerte,
1965,21-Nov-65,,Senegal , Ivory Coast,0,1,Third place match,,Stade Chedli Zouiten, Tunis,
1965,21-Nov-65,,Ghana , Tunisia,3,2,Final, win after extra time ,Stade Chedli Zouiten, Tunis,
1968,12-Jan-68,,Ethiopia , Uganda,2,1,Group A,,Hailé Sélassié Stadium, Addis Ababa,20000
1968,12-Jan-68,,Ivory Coast , Algeria,3,0,Group A,,Hailé Sélassié Stadium, Addis Ababa,20000
1968,14-Jan-68,,Ethiopia , Ivory Coast,1,0,Group A,,Hailé Sélassié Stadium, Addis Ababa,25000
1968,14-Jan-68,,Algeria , Uganda,4,0,Group A,,Hailé Sélassié Stadium, Addis Ababa,25000
1968,16-Jan-68,,Ivory Coast , Uganda,2,1,Group A,,Hailé Sélassié Stadium, Addis Ababa,15000
1968,16-Jan-68,,Ethiopia , Algeria,3,1,Group A,,Hailé Sélassié Stadium, Addis Ababa,20000
1968,12-Jan-68,,Ghana , Senegal,2,2,Group B,,Cicero Stadium, Asmara,3000
1968,12-Jan-68,,Congo-Kinshasa , Congo-Brazzaville,3,0,Group B,,Cicero Stadium, Asmara,4000
1968,14-Jan-68,,Senegal , Congo-Brazzaville,2,1,Group B,,Cicero Stadium, Asmara,3000
1968,14-Jan-68,,Ghana , Congo-Kinshasa,2,1,Group B,,Cicero Stadium, Asmara,3000
1968,16-Jan-68,,Congo-Kinshasa , Senegal,2,1,Group B,,Cicero Stadium, Asmara,3000
1968,16-Jan-68,,Ghana , Congo-Brazzaville,3,1,Group B,,Cicero Stadium, Asmara,3000
1968,19-Jan-68,,Ethiopia , Congo-Kinshasa,2,3,Semi-finals, win after extra time ,Hailé Sélassié Stadium, Addis Ababa,25000
1968,19-Jan-68,,Ghana , Ivory Coast,4,3,Semi-finals, win after extra time ,Cicero Stadium, Asmara,5000
1968,21-Jan-68,,Ivory Coast , Ethiopia,1,0,Third place match,,Hailé Sélassié Stadium, Addis Ababa,10000
1968,21-Jan-68,,Congo-Kinshasa , Ghana,1,0,Final,,Hailé Sélassié Stadium, Addis Ababa,25000
1970,6-Feb-70,,Cameroon , Ivory Coast,3,2,Group A,,Municipal Stadium, Khartoum,14464
1970,6-Feb-70,,Sudan , Ethiopia,3,0,Group A,,Municipal Stadium, Khartoum,14464
1970,8-Feb-70,,Cameroon , Ethiopia,3,2,Group A,,Municipal Stadium, Khartoum,9864
1970,8-Feb-70,,Ivory Coast , Sudan,1,0,Group A,,Municipal Stadium, Khartoum,9864
1970,10-Feb-70,,Ivory Coast , Ethiopia,6,1,Group A,,Municipal Stadium, Khartoum,9770
1970,10-Feb-70,,Sudan , Cameroon,2,1,Group A,,Municipal Stadium, Khartoum,9770
1970,7-Feb-70,,Ghana , Congo-Kinshasa,2,0,Group B,,Wad Madani Stadium, Wad Medani,7525
1970,7-Feb-70,,United Arab Rep. , Guinea,4,1,Group B,,Wad Madani Stadium, Wad Medani,7525
1970,9-Feb-70,,Congo-Kinshasa , Guinea,2,2,Group B,,Wad Madani Stadium, Wad Medani,3342
1970,9-Feb-70,,United Arab Rep. , Ghana,1,1,Group B,,Wad Madani Stadium, Wad Medani,3342
1970,11-Feb-70,,Guinea , Ghana,1,1,Group B,,Wad Madani Stadium, Wad Medani,3927
1970,11-Feb-70,,United Arab Rep. , Congo-Kinshasa,1,0,Group B,,Wad Madani Stadium, Wad Medani,3927
1970,14-Feb-70,,Ivory Coast , Ghana,1,2,Semifinals, win after extra time ,Municipal Stadium, Khartoum,12350
1970,14-Feb-70,,United Arab Rep. , Sudan,1,2,Semifinals, win after extra time ,Municipal Stadium, Khartoum,12350
1970,16-Feb-70,,United Arab Rep. , Ivory Coast,3,1,Third place match,,Municipal Stadium, Khartoum,12187
1970,16-Feb-70,,Sudan , Ghana,1,0,Final,,Municipal Stadium, Khartoum,102187
1972,23-Feb-72,,Cameroon , Kenya,2,1,Group A,,Stade Omnisports, Yaoundé,40000
1972,24-Feb-72,,Mali , Togo,3,3,Group A,,Stade Omnisports, Yaoundé,
1972,26-Feb-72,,Mali , Kenya,1,1,Group A,,Stade Omnisports, Yaoundé,
1972,26-Feb-72,,Cameroon , Togo,2,0,Group A,,Stade Omnisports, Yaoundé,
1972,28-Feb-72,,Togo , Kenya,1,1,Group A,,Stade Omnisports, Yaoundé,
1972,28-Feb-72,,Cameroon , Mali,1,1,Group A,,Stade Omnisports, Yaoundé,
1972,25-Feb-72,,Congo , Morocco,1,1,Group B,,Stade de la Réunification, Douala,
1972,25-Feb-72,,Zaire , Sudan,1,1,Group B,,Stade de la Réunification, Douala,
1972,27-Feb-72,,Morocco , Sudan,1,1,Group B,,Stade de la Réunification, Douala,
