title,author,isbn13,publication_date,publisher,authorID,publisherID
Hamlet,A.R. Braunmuller,9780140714548,2001-12-01 00:00:00.000,Penguin Books,100020,2468
Anna Karenina,Leo Tolstoy,9780140449174,2003-01-30 00:00:00.000,Penguin Books,105173,2468
Anna Karenina,Leo Tolstoy,9780142000274,2001-12-01 00:00:00.000,Penguin Books,105173,2468
War and Peace,Leo Tolstoy,9780143039990,2006-12-01 00:00:00.000,Penguin Books,105173,2468
Anna Karenina,Richard Pevear,9780140449174,2003-01-30 00:00:00.000,Penguin Books,107321,2468
Anna Karenina,Richard Pevear,9780142000274,2001-12-01 00:00:00.000,Penguin Books,107321,2468
Anna Karenina,Larissa Volokhonsky,9780140449174,2003-01-30 00:00:00.000,Penguin Books,105038,2468
Anna Karenina,Larissa Volokhonsky,9780142000274,2001-12-01 00:00:00.000,Penguin Books,105038,2468
Anna Karenina,John Bayley,9780140449174,2003-01-30 00:00:00.000,Penguin Books,104242,2468
Howards End,E.M. Forster,9780141183350,2000-09-28 00:00:00.000,Penguin Books,102206,2468
The Turn of the Screw and The Aspern Papers,Henry James,9780141439907,2003-06-26 00:00:00.000,Penguin Books,103290,2468
Saint Augustine,Garry Wills,9780143035985,2005-08-30 00:00:00.000,Penguin Books,102821,2468
Gravity's Rainbow,Thomas Pynchon,9780140283389,2000-01-01 00:00:00.000,Penguin Books,108612,2468
Gravity's Rainbow,Thomas Pynchon,9780143039945,2006-10-31 00:00:00.000,Penguin Books,108612,2468
The Complete Maus,Art Spiegelman,9780141014081,2003-10-02 00:00:00.000,Penguin Books,100559,2468
The Joy Luck Club,Amy Tan,9780143038092,2006-09-21 00:00:00.000,Penguin Books,100296,2468
The Kitchen God's Wife,Amy Tan,9780143038108,2006-09-21 00:00:00.000,Penguin Books,100296,2468
The Book of Imaginary Beings,Andrew Hurley,9780143039938,2006-09-26 00:00:00.000,Penguin Books,100341,2468
On the Road,Ann Charters,9780141182674,2000-02-24 00:00:00.000,Penguin Books,100400,2468
Of Mice and Men,John Steinbeck,9780142000670,2002-01-08 00:00:00.000,Penguin Books,104431,2468
East of Eden,John Steinbeck,9780142004234,2002-06-18 00:00:00.000,Penguin Books,104431,2468
Cannery Row,John Steinbeck,9780142000687,2002-02-05 00:00:00.000,Penguin Books,104431,2468
The Pearl,John Steinbeck,9780142000694,2002-01-08 00:00:00.000,Penguin Books,104431,2468
War and Peace,Anthony Briggs,9780143039990,2006-12-01 00:00:00.000,Penguin Books,100487,2468
The Turn of the Screw and The Aspern Papers,Anthony Curtis,9780141439907,2003-06-26 00:00:00.000,Penguin Books,100491,2468
