Date;Magnitude (group);Magnitude (group) 1;Place;Type;Year;Depth;F1;Latitude;Longitude;Magnitude
22.01.2020;Moderate;Moderate;Manisa;Mw;2020;10,35;0;39,0488;27,8443;5,4
24.01.2020;Strong;Strong;Elazig;Mw;2020;8,06;1;38,3593;39,063;6,8
25.01.2020;Moderate;Moderate;Elazig;Mw;2020;16,4;2;38,374;39,131;5,1
20.02.2019;Moderate;Moderate;Canakkale;Mw;2019;5,8;3;39,6011;26,4261;5
4.04.2019;Moderate;Moderate;Elazig;Mw;2019;8,92;4;38,3865;39,1205;5,2
3.10.2019;Moderate;Moderate;Balikesir;Mw;2019;18,74;5;36,3133;28,4983;5
26.09.2019;Moderate;Moderate;Istanbul;Mw;2019;7,97;6;40,8818;28,214;5,8
20.03.2019;Moderate;Moderate;Denizli;Mw;2019;10,76;7;37,4401;29,4335;5,5
8.08.2019;Strong;Strong;Denizli;Mw;2019;10,92;8;37,851;29,584;6
24.04.2018;Moderate;Moderate;Adiyaman;Mw;2018;9,79;9;37,5836;38,5036;5,1
12.09.2018;Moderate;Moderate;Balikesir;Mw;2018;36,68;10;36,0535;31,2135;5,2
7.02.2017;Moderate;Moderate;Canakkale;Mw;2017;6,24;11;39,5205;26,151;5,2
21.07.2017;Moderate;Moderate;Mugla;Mw;2017;37,5;12;36,941;27,332;5
13.04.2017;Moderate;Moderate;Mugla;Mw;2017;11,33;13;37,1533;28,647;5
10.02.2017;Moderate;Moderate;Canakkale;ML;2017;7,01;14;39,5236;26,1946;5
20.07.2017;Strong;Strong;Mugla;Mw;2017;7,8;15;36,974;27,523;6,3
27.05.2017;Moderate;Moderate;Manisa;Mw;2017;11,03;16;38,7358;27,8156;5,1
6.02.2017;Moderate;Moderate;Canakkale;Mw;2017;14,16;17;39,5495;26,137;5,3
6.02.2017;Moderate;Moderate;Canakkale;Mw;2017;8,72;18;39,5303;26,1351;5,3
22.11.2017;Moderate;Moderate;Mugla;Mw;2017;24,75;19;37,1206;28,5921;5
12.02.2017;Moderate;Moderate;Canakkale;Mw;2017;7;20;39,5336;26,17;5,3
24.11.2017;Moderate;Moderate;Mugla;Mw;2017;24,46;21;37,1146;28,6045;5,1
8.08.2017;Moderate;Moderate;Mugla;Mw;2017;11,03;22;36,9576;27,6236;5,1
2.03.2017;Moderate;Moderate;Adiyaman;Mw;2017;9,76;23;37,5955;38,4866;5,5
10.01.2016;Moderate;Moderate;Kirsehir;Mw;2016;13,6;24;39,564;34,358;5
2.12.2015;Moderate;Moderate;Bingol;Mw;2015;10,66;25;39,261;40,217;5,3
6.10.2015;Moderate;Moderate;Balikesir;Mw;2015;34,23;26;36,1846;29,8853;5,2
29.11.2015;Moderate;Moderate;Malatya;Mw;2015;22,41;27;38,8401;37,837;5
29.07.2015;Moderate;Moderate;Adana;Mw;2015;29,68;28;36,5646;35,0361;5
24.05.2014;Moderate;Moderate;Canakkale;Mw;2014;6,98;29;40,3951;26,3058;5,3
4.09.2014;Moderate;Moderate;Balikesir;Mw;2014;41,03;30;36,172;30,9301;5,2
8.12.2013;Moderate;Moderate;Balikesir;Mw;2013;65;31;36,692;31,257;5
28.12.2013;Strong;Strong;Erzurum;ML;2013;43,6;32;36,048;31,332;6
26.03.2012;Moderate;Moderate;Mus;Mw;2012;17;33;39,23;42,28;5,2
7.06.2012;Moderate;Moderate;Tekirdag;Mw;2012;14,9;34;40,854;27,9235;5
14.06.2012;Moderate;Moderate;Sirnak;Mw;2012;11,68;35;37,1572;42,4437;5,2
3.05.2012;Moderate;Moderate;Kutahya;Mw;2012;10,59;36;39,1245;29,11;5,2
5.08.2012;Moderate;Moderate;Sirnak;Mw;2012;12,94;37;37,4635;42,9798;5,1
10.06.2012;Strong;Strong;Mugla;Mw;2012;30;38;36,36;28,93;6,1
19.09.2012;Moderate;Moderate;Kahramanmaras;Mw;2012;22,35;39;37,2838;37,1398;5
25.06.2012;Moderate;Moderate;Mugla;Mw;2012;27;40;36,4422;28,9422;5
10.06.2012;Moderate;Moderate;Mugla;Ml;2012;26,85;41;36,4762;28,9295;5
23.10.2011;Moderate;Moderate;Van;Mw;2011;19,81;42;38,629;43,192;5,1
23.10.2011;Moderate;Moderate;Van;Mw;2011;22,61;43;38,7778;43,3947;5,5
22.09.2011;Moderate;Moderate;Erzincan;Mw;2011;7,18;44;39,6597;38,6777;5,6
29.10.2011;Moderate;Moderate;Van;Mw;2011;16,67;45;38,9245;43,5438;5,1
27.10.2011;Moderate;Moderate;Hakkari;Mw;2011;21,61;46;37,3807;43,8343;5,1
25.10.2011;Moderate;Moderate;Van;Mw;2011;17,44;47;38,823;43,5857;5,6
19.05.2011;Moderate;Moderate;Kutahya;Mw;2011;24,46;48;39,1328;29,082;5,9
25.07.2011;Moderate;Moderate;Tekirdag;Mw;2011;6,97;49;40,8195;27,7498;5,1
30.11.2011;Moderate;Moderate;Van;Mw;2011;19,79;50;38,47;43,2905;5,4
28.05.2011;Moderate;Moderate;Kutahya;Mw;2011;23,02;51;39,1215;29,0408;5,1
23.06.2011;Moderate;Moderate;Elazig;Mw;2011;13,42;52;38,5562;39,6307;5,4
8.11.2011;Moderate;Moderate;Van;Mw;2011;8,36;53;38,7192;43,0778;5,3
23.10.2011;Moderate;Moderate;Van;Ml;2011;7,48;54;38,7335;43,1312;5,3
27.06.2011;Moderate;Moderate;Kutahya;Mw;2011;9;55;39,12;29,02;5
14.11.2011;Moderate;Moderate;Van;Mw;2011;23,32;56;38,7038;43,0833;5,2
23.10.2011;Major;Major;Van;Mw;2011;19,02;57;38,689;43,4657;7,1
24.10.2011;Moderate;Moderate;Van;Mw;2011;18,71;58;38,693;43,1475;5
23.10.2011;Moderate;Moderate;Van;Ml;2011;19,92;59;38,7825;43,3633;5,8
9.11.2011;Moderate;Moderate;Van;Mw;2011;21,47;60;38,4382;43,2825;5,7
23.10.2011;Strong;Strong;Van;Mw;2011;6,79;61;38,6447;43,1275;6
8.03.2010;Strong;Strong;Elazig;Mw;2010;5;62;38,77;40,07;6,1
24.03.2010;Moderate;Moderate;Elazig;Mw;2010;22,57;63;38,7713;40,0935;5,1
8.03.2010;Moderate;Moderate;Erzincan;Ml;2010;4,91;64;39,7957;40,0477;5
3.11.2010;Moderate;Moderate;Canakkale;Mw;2010;10;65;40,425;26,2214;5,3
8.03.2010;Moderate;Moderate;Elazig;Mw;2010;11,75;66;38,7452;40,0342;5,1
11.11.2010;Moderate;Moderate;Aydin;Mw;2010;15;67;37,8579;27,3856;5
8.03.2010;Moderate;Moderate;Elazig;Mw;2010;15,15;68;38,7518;40,0418;5,6
17.02.2009;Moderate;Moderate;Kutahya;Mw;2009;7;69;39,1488;29,0448;5,2
30.07.2009;Moderate;Moderate;Erzincan;Mw;2009;13,7;70;39,5854;39,7483;5
25.04.2008;Moderate;Moderate;Denizli;Mw;2008;12,3;71;37,804;29,32;5
12.11.2008;Moderate;Moderate;Kayseri;Mw;2008;10;72;38,834;35,536;5,1
3.09.2008;Moderate;Moderate;Sanliurfa;Mw;2008;5,2;73;37,445;38,58;5
21.02.2007;Moderate;Moderate;Elazig;Mw;2007;6;74;38,36;39,3;5,7
21.01.2007;Moderate;Moderate;Agri;Mw;2007;12;75;39,566;42,864;5,1
16.11.2007;Moderate;Moderate;Burdur;Mw;2007;20;76;36,909;29,383;5,1
20.12.2007;Moderate;Moderate;Ankara;Mw;2007;13,2;77;39,411;33,156;5,7
10.04.2007;Moderate;Moderate;Isparta;Mw;2007;27,9;78;37,905;30,955;5,1
29.10.2007;Moderate;Moderate;Burdur;Mw;2007;20;79;36,908;29,342;5,3
9.02.2007;Moderate;Moderate;Malatya;Mw;2007;9,7;80;38,322;39,101;5,5
25.08.2007;Moderate;Moderate;Bingol;Mw;2007;12,5;81;39,248;41,122;5,3
26.12.2007;Moderate;Moderate;Ankara;Mw;2007;14,6;82;39,424;33,11;5,6
24.10.2006;Moderate;Moderate;Bursa;Mw;2006;15,5;83;40,443;29,079;5
2.07.2006;Moderate;Moderate;Bingol;Mw;2006;15;84;39,319;40,915;5
17.10.2005;Moderate;Moderate;Izmir;Mw;2005;17,8;85;38,152;26,731;5,2
14.03.2005;Moderate;Moderate;Bingol;Mw;2005;10;86;39,3872;40,988;5,8
17.10.2005;Moderate;Moderate;Izmir;Mw;2005;17,9;87;38,1336;26,6723;5,5
20.10.2005;Moderate;Moderate;Izmir;Mw;2005;15;88;38,15;26,67;5,8
30.07.2005;Moderate;Moderate;Ankara;Mw;2005;15,5;89;39,388;33,114;5,2
12.03.2005;Moderate;Moderate;Bingol;Mw;2005;19,6;90;39,356;40,952;5,6
25.01.2005;Moderate;Moderate;Hakkari;Mw;2005;15,3;91;37,66;43,707;5,8
11.01.2005;Moderate;Moderate;Mugla;Mw;2005;34;92;36,912;27,845;5
10.12.2005;Moderate;Moderate;Bingol;Mw;2005;15,9;93;39,362;40,926;5,4
23.03.2005;Moderate;Moderate;Bingol;Mw;2005;17,1;94;39,399;40,871;5,6
10.01.2005;Moderate;Moderate;Mugla;Mw;2005;32,1;95;36,867;27,888;5,4
6.06.2005;Moderate;Moderate;Bingol;Mw;2005;13,8;96;39,3445;41,0278;5,6
26.11.2005;Moderate;Moderate;Malatya;Mw;2005;23;97;38,212;38,859;5,1
17.10.2005;Moderate;Moderate;Izmir;Mw;2005;7,3;98;38,172;26,728;5,8
20.12.2004;Moderate;Moderate;Mugla;Mw;2004;28,3;99;36,95;28,345;5,3
4.08.2004;Moderate;Moderate;Mugla;Mw;2004;10;100;36,8603;27,7535;5,5
11.08.2004;Moderate;Moderate;Elazig;Mw;2004;10;101;38,37;39,22;5,6
25.03.2004;Moderate;Moderate;Erzurum;Mw;2004;20;102;39,867;40,864;5,6
28.03.2004;Moderate;Moderate;Erzurum;Mw;2004;10;103;39,93;40,83;5,6
4.08.2004;Moderate;Moderate;Mugla;Mw;2004;24,2;104;36,886;27,78;5,3
1.07.2004;Moderate;Moderate;Igdir;Mw;2004;21;105;39,7808;43,9648;5,1
4.08.2004;Moderate;Moderate;Mugla;Mw;2004;12;106;36,877;27,802;5,2
3.08.2004;Moderate;Moderate;Mugla;Mw;2004;22,8;107;36,888;27,777;5,2
26.07.2003;Moderate;Moderate;Denizli;Mw;2003;22,3;108;38,051;28,902;5,4
10.04.2003;Moderate;Moderate;Izmir;Mw;2003;14,1;109;38,226;26,918;5,7
27.01.2003;Strong;Strong;Tunceli;Mw;2003;15,1;110;39,496;39,841;6
23.07.2003;Moderate;Moderate;Denizli;Mw;2003;15;111;38,065;28,886;5,3
3.05.2003;Moderate;Moderate;Antalya;Mw;2003;128,7;112;36,897;31,516;5,4
6.07.2003;Moderate;Moderate;Edirne;Mw;2003;15;113;40,443;26,039;5,2
6.07.2003;Moderate;Moderate;Edirne;Mw;2003;15;114;40,445;26,074;5,7
17.04.2003;Moderate;Moderate;Izmir;Mw;2003;15;115;38,181;26,959;5,2
1.05.2003;Strong;Strong;Bingol;Mw;2003;10;116;39,01;40,46;6,3
13.07.2003;Moderate;Moderate;Malatya;Mw;2003;10;117;38,3222;39,0356;5,5
3.02.2002;Moderate;Moderate;Balikesir;Mw;2002;11;118;38,667;30,919;5,8
3.02.2002;Moderate;Moderate;Balikesir;mb;2002;35;119;38,721;30,886;5,1
3.02.2002;Moderate;Moderate;Balikesir;Mw;2002;31;120;38,562;31,083;5,3
3.02.2002;Strong;Strong;Erzurum;Mw;2002;5;121;38,527;31,221;6,5
10.07.2001;Moderate;Moderate;Erzurum;Mw;2001;35;122;39,818;41,629;5,4
25.06.2001;Moderate;Moderate;Osmaniye;Mw;2001;13,6;123;37,182;36,213;5,4
31.10.2001;Moderate;Moderate;Osmaniye;mb;2001;41,8;124;37,177;36,131;5,2
15.12.2000;Strong;Strong;Erzurum;Mw;2000;5;125;38,6081;31,1972;6
