Country,Country (group),dummy,dummy (copy),MEASURE,PC_GDP,PC_GDP label,PC_GDP_act,PC_HEALTHXP,SUBJECT,TIME,USD_CAP,USD_CAP label,USD_CAP_act,VALUE_SELECT_$,VALUE_SELECT_%,max_year,Value,VALUE_SELECT
Australia,"ALL, Australia, Austria and 40 more", , ,PC_GDP,4.547,Percentage of GDP,PC_GDP,,TOT,1/1/1971,,USD per Capita,USD_CAP,$, ,1971,4.547,
Australia,"ALL, Australia, Austria and 40 more", , ,PC_GDP,4.547,Percentage of GDP,PC_GDP,,TOT,1/1/1972,,USD per Capita,USD_CAP,$, ,1972,4.547,
Australia,"ALL, Australia, Austria and 40 more", , ,PC_GDP,4.511,Percentage of GDP,PC_GDP,,TOT,1/1/1973,,USD per Capita,USD_CAP,$, ,1973,4.511,
Australia,"ALL, Australia, Austria and 40 more", , ,PC_GDP,5.112,Percentage of GDP,PC_GDP,,TOT,1/1/1974,,USD per Capita,USD_CAP,$, ,1974,5.112,
Australia,"ALL, Australia, Austria and 40 more", , ,PC_GDP,5.76,Percentage of GDP,PC_GDP,,TOT,1/1/1975,,USD per Capita,USD_CAP,$, ,1975,5.76,
Australia,"ALL, Australia, Austria and 40 more", , ,PC_GDP,5.777,Percentage of GDP,PC_GDP,,TOT,1/1/1976,,USD per Capita,USD_CAP,$, ,1976,5.777,
Australia,"ALL, Australia, Austria and 40 more", , ,PC_GDP,6.076,Percentage of GDP,PC_GDP,,TOT,1/1/1977,,USD per Capita,USD_CAP,$, ,1977,6.076,
Australia,"ALL, Australia, Austria and 40 more", , ,PC_GDP,5.938,Percentage of GDP,PC_GDP,,TOT,1/1/1978,,USD per Capita,USD_CAP,$, ,1978,5.938,
Australia,"ALL, Australia, Austria and 40 more", , ,PC_GDP,5.828,Percentage of GDP,PC_GDP,,TOT,1/1/1979,,USD per Capita,USD_CAP,$, ,1979,5.828,
Australia,"ALL, Australia, Austria and 40 more", , ,PC_GDP,5.83,Percentage of GDP,PC_GDP,,TOT,1/1/1980,,USD per Capita,USD_CAP,$, ,1980,5.83,
Australia,"ALL, Australia, Austria and 40 more", , ,PC_GDP,5.839,Percentage of GDP,PC_GDP,,TOT,1/1/1981,,USD per Capita,USD_CAP,$, ,1981,5.839,
Australia,"ALL, Australia, Austria and 40 more", , ,PC_GDP,6.106,Percentage of GDP,PC_GDP,,TOT,1/1/1982,,USD per Capita,USD_CAP,$, ,1982,6.106,
Australia,"ALL, Australia, Austria and 40 more", , ,PC_GDP,6.052,Percentage of GDP,PC_GDP,,TOT,1/1/1983,,USD per Capita,USD_CAP,$, ,1983,6.052,
Australia,"ALL, Australia, Austria and 40 more", , ,PC_GDP,6.024,Percentage of GDP,PC_GDP,,TOT,1/1/1984,,USD per Capita,USD_CAP,$, ,1984,6.024,
Australia,"ALL, Australia, Austria and 40 more", , ,PC_GDP,6.075,Percentage of GDP,PC_GDP,,TOT,1/1/1985,,USD per Capita,USD_CAP,$, ,1985,6.075,
Australia,"ALL, Australia, Austria and 40 more", , ,PC_GDP,6.274,Percentage of GDP,PC_GDP,,TOT,1/1/1986,,USD per Capita,USD_CAP,$, ,1986,6.274,
Australia,"ALL, Australia, Austria and 40 more", , ,PC_GDP,6.112,Percentage of GDP,PC_GDP,,TOT,1/1/1987,,USD per Capita,USD_CAP,$, ,1987,6.112,
Australia,"ALL, Australia, Austria and 40 more", , ,PC_GDP,6.067,Percentage of GDP,PC_GDP,,TOT,1/1/1988,,USD per Capita,USD_CAP,$, ,1988,6.067,
Australia,"ALL, Australia, Austria and 40 more", , ,PC_GDP,6.12,Percentage of GDP,PC_GDP,,TOT,1/1/1989,,USD per Capita,USD_CAP,$, ,1989,6.12,
Australia,"ALL, Australia, Austria and 40 more", , ,PC_GDP,6.48,Percentage of GDP,PC_GDP,,TOT,1/1/1990,,USD per Capita,USD_CAP,$, ,1990,6.48,
Australia,"ALL, Australia, Austria and 40 more", , ,PC_GDP,6.776,Percentage of GDP,PC_GDP,,TOT,1/1/1991,,USD per Capita,USD_CAP,$, ,1991,6.776,
Australia,"ALL, Australia, Austria and 40 more", , ,PC_GDP,6.841,Percentage of GDP,PC_GDP,,TOT,1/1/1992,,USD per Capita,USD_CAP,$, ,1992,6.841,
Australia,"ALL, Australia, Austria and 40 more", , ,PC_GDP,6.857,Percentage of GDP,PC_GDP,,TOT,1/1/1993,,USD per Capita,USD_CAP,$, ,1993,6.857,
Australia,"ALL, Australia, Austria and 40 more", , ,PC_GDP,6.889,Percentage of GDP,PC_GDP,,TOT,1/1/1994,,USD per Capita,USD_CAP,$, ,1994,6.889,
Australia,"ALL, Australia, Austria and 40 more", , ,PC_GDP,6.935,Percentage of GDP,PC_GDP,,TOT,1/1/1995,,USD per Capita,USD_CAP,$, ,1995,6.935,
Australia,"ALL, Australia, Austria and 40 more", , ,PC_GDP,7.074,Percentage of GDP,PC_GDP,,TOT,1/1/1996,,USD per Capita,USD_CAP,$, ,1996,7.074,
Australia,"ALL, Australia, Austria and 40 more", , ,PC_GDP,7.088,Percentage of GDP,PC_GDP,,TOT,1/1/1997,,USD per Capita,USD_CAP,$, ,1997,7.088,
Australia,"ALL, Australia, Austria and 40 more", , ,PC_GDP,7.244,Percentage of GDP,PC_GDP,,TOT,1/1/1998,,USD per Capita,USD_CAP,$, ,1998,7.244,
Australia,"ALL, Australia, Austria and 40 more", , ,PC_GDP,7.331,Percentage of GDP,PC_GDP,,TOT,1/1/1999,,USD per Capita,USD_CAP,$, ,1999,7.331,
Australia,"ALL, Australia, Austria and 40 more", , ,PC_GDP,7.614,Percentage of GDP,PC_GDP,,TOT,1/1/2000,,USD per Capita,USD_CAP,$, ,2000,7.614,
Australia,"ALL, Australia, Austria and 40 more", , ,PC_GDP,7.696,Percentage of GDP,PC_GDP,,TOT,1/1/2001,,USD per Capita,USD_CAP,$, ,2001,7.696,
Australia,"ALL, Australia, Austria and 40 more", , ,PC_GDP,7.893,Percentage of GDP,PC_GDP,,TOT,1/1/2002,,USD per Capita,USD_CAP,$, ,2002,7.893,
