code,LAT,LONG,PRS,WND,SiR34,SATSer
1.98003E+11,13.16,177.34,990,24.3,137.7,GOE-3
1.98003E+11,15.97,177.2,987,27.5,182.9,GOE-3
1.98003E+11,17.9,178.28,987,25.9,140.8,GOE-3
1.98003E+11,18.75,179.01,992,22.2,111.6,GOE-3
1.98003E+11,19.4,179.68,994,22.1,125.5,GOE-3
1.98015E+11,14.15,157.04,996,17.6,139.8,GOE-3
1.98015E+11,14.63,156.17,992,19.3,123.7,GOE-3
1.98015E+11,15.46,156.06,991,19.7,144.6,GOE-3 
,,,,,,
1.98015E+11,33.07,159.47,977,31.3,184.4,GOE-3 
,,,,,,
1.98015E+11,33.23,160.78,978,28.7,199.7,GOE-3 
,,,,,,
1.98015E+11,33.36,162.11,980,27.6,154,GOE-3 
,,,,,,
1.98026E+11,14.36,156.09,991,18.9,161.2,GOE-3 
,,,,,,
1.98026E+11,15,155.68,988,20.2,172.1,GOE-3 
,,,,,,
1.98101E+11,7.46,165.92,994,19.1,179.5,GMS-1 
,,,,,,
1.98101E+11,8.1,165.1,993,19.6,134.6,GMS-1 
,,,,,,
1.98101E+11,8.99,164.13,992,21.1,130.6,GMS-1 
,,,,,,
1.98101E+11,9.86,163.22,990,22.6,131.7,GMS-1 
,,,,,,
1.98101E+11,10.68,162.42,987,24.9,140.5,GMS-1 
,,,,,,
1.98101E+11,11.6,161.92,980,28.3,171.9,GMS-1 
,,,,,,
1.98101E+11,12.68,161.44,978,29.3,161.3,GMS-1 
,,,,,,
1.98101E+11,13.8,161.2,975,29.8,172,GMS-1 
,,,,,,
1.98101E+11,14.68,161.45,968,33.7,180.5,GMS-1 
,,,,,,
1.98101E+11,15.54,161.9,960,38.6,204.1,GMS-1 
,,,,,,
1.98101E+11,16.85,162.85,946,44.4,225.3,GMS-1 
,,,,,,
1.98101E+11,18.14,163.92,945,45.4,209.5,GMS-1 
,,,,,,
1.98101E+11,19.18,164.97,945,46.4,221.3,GMS-1 
,,,,,,
1.98101E+11,20.08,165.96,945,46.9,228.3,GMS-1 
,,,,,,
1.98101E+11,21.09,167.04,950,45,236.5,GMS-1 
,,,,,,
1.98101E+11,22.12,168.12,957,41,204.4,GMS-1 
,,,,,,
1.98101E+11,23.29,169.21,963,37.1,196.7,GMS-1 
,,,,,,
1.98101E+11,27.79,174.4,980,21.7,188.2,GMS-1 
,,,,,,
1.98101E+11,29,176,980,22.9,233,GMS-1 
,,,,,,
1.98102E+11,6.32,151.14,996,20,160.6,GMS-1 
,,,,,,
1.98102E+11,7.16,149.51,990,22.9,203.1,GMS-1 
,,,,,,
1.98102E+11,7.9,147.88,986,26.9,140.7,GMS-1 
,,,,,,
1.98102E+11,8.39,146.55,981,27.9,136.5,GMS-1 
,,,,,,
1.98102E+11,9,146.08,985,26.4,150,GMS-1 
,,,,,,
1.98102E+11,10,145.91,990,25,163.5,GMS-1 
,,,,,,
1.98102E+11,11.04,145.84,990,24,150,GMS-1 
,,,,,,
1.98102E+11,11.71,145.69,990,23,109.9,GMS-1 
,,,,,,
1.98102E+11,12.2,145.74,990,21.1,121.5,GMS-1 
,,,,,,
1.98102E+11,12.8,145.92,991,21.1,117.8,GMS-1 
,,,,,,
1.98102E+11,13.36,146.14,991,20.1,115.9,GMS-1 
,,,,,,
1.98102E+11,13.97,146.61,991,20.1,126.4,GMS-1 
,,,,,,
1.98102E+11,14.66,147.02,992,18.6,127.9,GMS-1 
,,,,,,
1.98102E+11,15.24,146.95,993,18.2,119.8,GMS-1 
,,,,,,
1.98103E+11,9.2,157.22,999,19.1,130.6,GMS-1 
,,,,,,
1.98103E+11,9.38,156.09,999,19.1,202,GMS-1 
,,,,,,
1.98103E+11,9.42,155.12,998,21.1,144.6,GMS-1 
,,,,,,
1.98103E+11,9.43,154.06,998,21.1,107.6,GMS-1 
,,,,,,
1.98103E+11,9.68,153.28,998,21.1,122.8,GMS-1 
,,,,,,
1.98103E+11,9.86,152.57,997,21.1,107.7,GMS-1 
,,,,,,
1.98103E+11,9.96,151.9,999,20.5,161.2,GMS-1 
,,,,,,
1.98103E+11,10.02,151.32,999,19.6,151.8,GMS-1 
,,,,,,
1.98103E+11,10.1,151.02,998,19.1,161.1,GMS-1 
,,,,,,
1.98103E+11,10.29,150.78,998,18.6,102.1,GMS-1 
,,,,,,
1.98103E+11,10.58,150.66,999,17.6,107.1,GMS-1 
,,,,,,
1.98103E+11,10.81,150.68,999,17.6,110,GMS-1 
,,,,,,
1.98103E+11,10.92,150.6,998,18.1,128.2,GMS-1 
,,,,,,
1.98103E+11,11.12,150.36,998,18.1,138,GMS-1 
,,,,,,
1.98103E+11,11.3,150.1,999,18.1,162.8,GMS-1 
,,,,,,
1.98103E+11,11.41,149.88,999,18.1,171.7,GMS-1 
,,,,,,
1.98103E+11,11.34,149.64,1000,18.1,164.3,GMS-1 
,,,,,,
1.98103E+11,11.34,149.61,999,18.1,230.1,GMS-1 
,,,,,,
1.98103E+11,11.64,149.32,1000,18.1,166.6,GMS-1 
,,,,,,
1.98103E+11,11.74,148.93,1000,17.6,237.4,GMS-1 
,,,,,,
1.98104E+11,17.28,111.22,994,20,132.8,GMS-1 
,,,,,,
1.98104E+11,17.47,111.28,994,20,153.3,GMS-1 
,,,,,,
1.98104E+11,17.68,111.44,992,21,130,GMS-1 
,,,,,,
1.98104E+11,17.83,111.58,992,21,153.3,GMS-1 
,,,,,,
1.98104E+11,17.96,111.76,989,21,139.4,GMS-1 
,,,,,,
1.98104E+11,18.17,112.18,986,22.5,159.5,GMS-1 
,,,,,,
1.98104E+11,18.44,112.8,983,24.5,183.3,GMS-1 
,,,,,,
1.98104E+11,18.76,113.68,983,24.9,225.8,GMS-1 
,,,,,,
1.98104E+11,19.2,114.82,981,26.3,187.6,GMS-1 
,,,,,,
1.98104E+11,19.79,116.18,977,27.8,177.4,GMS-1 
,,,,,,
1.98104E+11,20.46,117.42,972,29.3,196.1,GMS-1 
,,,,,,
1.98104E+11,21.18,118.76,970,30.3,218,GMS-1 
,,,,,,
1.98104E+11,22.06,119.96,970,29.4,173,GMS-1 
,,,,,,
1.98104E+11,26.77,122.84,985,22.9,164.8,GMS-1 
,,,,,,
1.98104E+11,27.59,123.45,989,22.1,158,GMS-1 
,,,,,,
1.98105E+11,16.36,129.34,992,18.5,136.6,GMS-1 
,,,,,,
1.98105E+11,17.46,128.22,988,22,157.8,GMS-1 
,,,,,,
1.98105E+11,18.47,127.13,981,25.3,150.6,GMS-1 
,,,,,,
1.98105E+11,19.22,126.16,977,29.3,150.4,GMS-1 
,,,,,,
