Year,City,Sport,Discipline,Country,Gender,Event,Medal,Athlete
1924,Chamonix,Biathlon,Biathlon,FIN,Men,Military Patrol,Silver,FIN
1924,Chamonix,Biathlon,Biathlon,FRA,Men,Military Patrol,Bronze,FRA
1924,Chamonix,Biathlon,Biathlon,SUI,Men,Military Patrol,Gold,SUI
1924,Chamonix,Bobsleigh,Bobsleigh,BEL,Men,Four-Man,Bronze,BEL
1924,Chamonix,Bobsleigh,Bobsleigh,GBR,Men,Four-Man,Silver,GBR
1924,Chamonix,Bobsleigh,Bobsleigh,SUI,Men,Four-Man,Gold,SUI
1924,Chamonix,Curling,Curling,FRA,Men,Curling,Bronze,FRA
1924,Chamonix,Curling,Curling,GBR,Men,Curling,Gold,GBR
1924,Chamonix,Curling,Curling,SWE,Men,Curling,Silver,SWE
1924,Chamonix,Ice Hockey,Ice Hockey,CAN,Men,Ice Hockey,Gold,CAN
1924,Chamonix,Ice Hockey,Ice Hockey,GBR,Men,Ice Hockey,Bronze,GBR
1924,Chamonix,Ice Hockey,Ice Hockey,USA,Men,Ice Hockey,Silver,USA
1924,Chamonix,Skating,Figure skating,AUT,Men,Individual,Silver,"BÖCKL, Willy"
1924,Chamonix,Skating,Figure skating,AUT,Men,Pairs,Gold,"BERGER, Alfred"
1924,Chamonix,Skating,Figure skating,AUT,Women,Individual,Gold,"SZABO-PLANK, Herma"
1924,Chamonix,Skating,Figure skating,AUT,Women,Pairs,Gold,"ENGELMANN, Helene"
1924,Chamonix,Skating,Figure skating,FIN,Men,Pairs,Silver,"JAKOBSSON, Walter"
1924,Chamonix,Skating,Figure skating,FIN,Women,Pairs,Silver,"JAKOBSSON, Ludowika"
1924,Chamonix,Skating,Figure skating,FRA,Men,Pairs,Bronze,"BRUNET, Pierre"
1924,Chamonix,Skating,Figure skating,FRA,Women,Pairs,Bronze,"BRUNET, Andrée"
1924,Chamonix,Skating,Figure skating,GBR,Women,Individual,Bronze,"MUCKELT, Ethel"
1924,Chamonix,Skating,Figure skating,SUI,Men,Individual,Bronze,"GAUTSCHI, Georges"
1924,Chamonix,Skating,Figure skating,SWE,Men,Individual,Gold,"GRAFSTRÖM, Gillis"
1924,Chamonix,Skating,Figure skating,USA,Women,Individual,Silver,"LOUGHRAN, Beatrix"
1924,Chamonix,Skating,Speed skating,FIN,Men,10000M,Gold,"SKUTNABB, Julius"
1924,Chamonix,Skating,Speed skating,FIN,Men,10000M,Silver,"THUNBERG, Clas"
1924,Chamonix,Skating,Speed skating,FIN,Men,1500M,Gold,"THUNBERG, Clas"
1924,Chamonix,Skating,Speed skating,FIN,Men,5000M,Gold,"THUNBERG, Clas"
1924,Chamonix,Skating,Speed skating,FIN,Men,5000M,Silver,"SKUTNABB, Julius"
